Volcano Name,Volcano Code
"Huila, Nevado del",HUN
Hulubelu,HUL
"Humeros, Los",HML
Hunga Tonga-Hunga Ha'apai,HTH
Hunter Island,HUI
Hutapanjang,HUT
Hydrographers Range,HYR
Iamalele,IAM
Ibu,IBU
Ibusuki Volc Field,IVB
Ichinsky,ICH
Iettunup,IET
Igwisi Hills,IGH
Ijen,IJE
Iktunup,IKT
Iliamna,ILA
Iliboleng,ILB
Ilikedeka,ILK
Ililabalekan,ILL
Ilimuda,ILI
Iliwerung,ILW
Illiniza,ILN
Ilopango,ILO
Ilyinsky,ILY
Imagination Peak,IMP
Imbabura,IMB
Imun,IMU
Imuruk Lake,IML
In Ezzane Volc Field,IEV
"Incahuasi, Nevado de",INN
Indian Heaven,IDH
Infiernillo,INF
Ingakslugwat Hills,INH
Inielika,INE
Inierie,INI
Inyo Craters,INC
Ioto [Iwo-jima],IOI
Ipala,IPA
Iraya,IRA
Irazú,IRZ
Iriga,IRI
Iriomote-jima,IRO
Irruputuncu,IRR
Isanotski,ISN
Isarog,ISA
Ischia,ISC
Iskut-Unuk River Cones,IUR
Isla Isabel,ISI
Isluga,ISL
Itasy Volc Field,IVF
"Ithnayn, Harrat ",ITH
Iult,IUL
Ivao Group,IVG
Iwaki,IWK
Iwate,IWA
Iwo-Tori-shima,IWT
Ixtepeque,IXT
Iya,IYA1
Iyang-Argapura,IYA
Izalco,IZL
Iztaccihuatl,IZA
Izumbwe-Mpoli,IZM
Izu-Tobu,IZT
Jackies Butte,JAB
Jailolo,JAI
Jalua,JAL
Jan Mayen,JAM
Jaraguay Volc Field,JVF
"Jayu Khota, Laguna",JKL
Jefferson,JEF
Jingbo,JIN
Jocotitlán,JOO
Jolo,JOL
Jordan Craters,JOC
Jumaytepeque,JUM
Kaba,KAB
Kabargin Oth Group,KOG
Kadovar,KAV
Kagamil,KAL1
Kaguyak,KAK1
Kahoolawe,KAW
Kaikata Seamount,KIS
Kaikohe-Bay of Islands,KBI
Kaileney,KAI
Kaitoku Seamount,KTS
Kalatungan,KAL
Kambalny,KAM
Kamen,KAE
"Kamojang, Kawah",KMK
Kana Keoki,KNK
Kanaga,KAA2
Kanlaon,KAN1
Kanpu,KAU
Kao,KAO
Karaca Dag,KAD
"Karaha, Kawah",KRK
Karang,KAN
Karangetang [Api Siau],KAG
Karapinar Field,KAF
Karisimbi,KAR
Karkar,KAA
Karpinsky Group,KRG
Kars Plateau,KAP
Karthala,KAH
Karymsky,KAY
Kasatochi,KAI1
Kasbek,KAS
Kasuga,KAA1
Katla,KAA3
Katmai,KAI2
Katunga,KAT
Katwe-Kikorongo,KAK
Kavachi,KAC
Kawi-Butak,KWB
Kebeney,KEB
Kekurny,KEK
Kelimutu,KEU
Kell,KEL1
Keluo Group,KEG
Kelut,KEL
Kembar,KEM
Kendang,KEN
Kerguelen Islands,KEI
Kerinci,KER
Kerlingarfjoll,KEA
Ketoi,KET
Khangar,KHN
Khanuy Gol,KHG
Kharimkotan,KHA
"Khaybar, Harrat ",KHH
Khodutka,KHO
Kialagvik,KIV
Kiaraberes-Gagak,KIG
Kick 'em Jenny,KIJ
Kieyo,KIE
Kikai,KIK
Kikhpinych,KIP
Kilauea,KIU
Kilimanjaro,KIL
Kinenin,KIN
Kirishima,KIR
"Kishb, Harrat ",KIH
Kiska,KIA
Kita Yatsuga-take,KIY
Kita-Fukutokutai,KIF
Kita-Iwo-jima,KII
Kizimen,KIZ
Klabat,KLA
Kliuchevskoi,KLI
Kogaja-jima,KOJ
Kolbeinsey Ridge,KLR
Kolob,KOL
Kolokol Group,KLG
Komaga-take,KOM
Komarov,KOV
Kone,KON
Koniuji,KOI
Kookooligit Mountains,KKM
Koolau,KOU
Koranga,KOA
